speech_id,mot_cible,contexte_complet,fichier,speakerid,lastname,firstname,chamber,state,gender,party,district,nonvoting,date
970009359,monetary_policy,small businessmen heavy burden misguided monetary policy face lean years ahead strength,speeches_97.txt,97108670,ALEXANDER,WILLIAM,H,AR,M,D,1,voting,1981-03-04
970009360,monetary_policy,economic policy allies relying fiscal monetary policy fight inflation lower interest rates,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-03-04
970009360,monetary_policy,steps consistent prudent moderately restrained monetary policy nation needs 1981 report joint,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-03-04
970009361,monetary_policy,understand sensitive repercussions results nations monetary policy survival small industry business agriculture,speeches_97.txt,97113410,WATKINS,WES,H,OK,M,D,3,voting,1981-03-04
970009385,monetary_policy,answer fiscal policy turn attention monetary policy,speeches_97.txt,97108990,ECKART,DENNIS,H,OH,M,D,22,voting,1981-03-04
970009451,monetary_policy,urban affairs held semiannual conduct monetary policy hearings thursday federal serve chairman,speeches_97.txt,97107970,ST. GERMAIN,FERNAND,H,RI,M,D,1,voting,1981-03-04
970009451,monetary_policy,inventories banking committees subcommittee domestic monetary policy holding hearings 2 weeks main,speeches_97.txt,97107970,ST. GERMAIN,FERNAND,H,RI,M,D,1,voting,1981-03-04
970009521,monetary_policy,organizations b deliberations decisions actions monetary policy matters including discount window operations,speeches_97.txt,,,,,,,,,,1981-03-04
970009521,monetary_policy,board able independently conduct nations monetary policy independence fed long device shield,speeches_97.txt,,,,,,,,,,1981-03-04
970010322,monetary_policy,break energy vacuum fiscal restraint monetary policy going break energy dependence going,speeches_97.txt,97110091,BUMPERS,DALE,S,AR,M,D,,voting,1981-03-10
970010445,monetary_policy,mr president international finance monetary policy subcommittees hearing february 18 mr,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-03-10
970011423,monetary_policy,keynesian theory overlooks central rule monetary policy inflation drama impact taxes output,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-03-12
970011423,monetary_policy,blame poor fiscal policy shortcomings monetary policy legal practical need monetize public,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-03-12
970011423,monetary_policy,slow erratio stable best possible monetary policy undo waste unemployment caused excessively,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-03-12
970011423,monetary_policy,budgets regulation gone wild sense monetary policy federal reserve job federal reserve,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-03-12
970011423,monetary_policy,job federal reserve pursues noninflationary monetary policy slow stable predictable growth money,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-03-12
970011591,monetary_policy,70 billion cbo think supertight monetary policy imposed federal reserve board superhigh,speeches_97.txt,97109610,PEASE,DONALD,H,OH,M,D,13,voting,1981-03-17
970012089,monetary_policy,committees subcommittee international trade investment monetary policy section 2 b 3 exportimport,speeches_97.txt,,,,,,,,,,1981-03-18
970012097,monetary_policy,greater forecasts responsible economist truth monetary policy called administration greatly constrain growth,speeches_97.txt,97111850,GONZALEZ,HENRY,H,TX,M,D,20,voting,1981-03-18
970012172,monetary_policy,house banking committees semiannual report monetary policy hoped new administration lead new,speeches_97.txt,,,,,,,,,,1981-03-18
970012172,monetary_policy,witnessedand suffered fromthe complete failure monetary policy federal reserve years fed focussing,speeches_97.txt,,,,,,,,,,1981-03-18
970012172,monetary_policy,lag latest fashion academic economics monetary policy adopted government monetarists changing minds,speeches_97.txt,,,,,,,,,,1981-03-18
970012172,monetary_policy,goals quote jude wanninski object monetary policy money money consumers pocket provide,speeches_97.txt,,,,,,,,,,1981-03-18
970012172,monetary_policy,progress deregulation ultimately course nations monetary policy decided federal reserve system monitored,speeches_97.txt,,,,,,,,,,1981-03-18
970012241,monetary_policy,agencies bring realism fourth tight monetary policy support road represent agriculture community,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-03-19
